image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_18/A0.jpg,151,85,231,165
user_18/A1.jpg,155,83,235,163
user_18/A2.jpg,158,70,248,160
user_18/A3.jpg,159,69,249,159
user_18/A4.jpg,162,69,252,159
user_18/A5.jpg,169,37,259,127
user_18/A6.jpg,171,46,261,136
user_18/A7.jpg,171,46,261,136
user_18/A8.jpg,171,46,261,136
user_18/A9.jpg,171,47,261,137
user_18/B0.jpg,109,47,249,187
user_18/B1.jpg,109,45,249,185
user_18/B2.jpg,109,45,249,185
user_18/B3.jpg,109,45,249,185
user_18/B4.jpg,119,59,239,179
user_18/B5.jpg,142,17,262,137
user_18/B6.jpg,139,20,259,140
user_18/B7.jpg,140,26,260,146
user_18/B8.jpg,142,27,252,137
user_18/B9.jpg,142,27,252,137
user_18/C0.jpg,121,57,221,157
user_18/C1.jpg,122,58,222,158
user_18/C2.jpg,124,59,224,159
user_18/C3.jpg,128,57,228,157
user_18/C4.jpg,131,62,231,162
user_18/C5.jpg,174,16,274,116
user_18/C6.jpg,179,22,269,112
user_18/C7.jpg,180,28,270,118
user_18/C8.jpg,180,28,270,118
user_18/C9.jpg,181,28,271,118
user_18/D0.jpg,85,51,205,171
user_18/D1.jpg,86,50,206,170
user_18/D2.jpg,98,53,218,173
user_18/D3.jpg,112,46,232,166
user_18/D4.jpg,100,45,220,165
user_18/D5.jpg,136,33,266,163
user_18/D6.jpg,141,27,271,157
user_18/D7.jpg,147,34,267,154
user_18/D8.jpg,154,42,264,152
user_18/D9.jpg,154,36,264,146
user_18/E0.jpg,126,83,216,173
user_18/E1.jpg,130,84,220,174
user_18/E2.jpg,128,87,218,177
user_18/E3.jpg,134,96,214,176
user_18/E4.jpg,138,96,218,176
user_18/E5.jpg,172,41,272,141
user_18/E6.jpg,177,42,277,142
user_18/E7.jpg,174,37,274,137
user_18/E8.jpg,181,47,271,137
user_18/E9.jpg,186,45,276,135
user_18/F0.jpg,136,51,246,161
user_18/F1.jpg,133,47,243,157
user_18/F2.jpg,131,53,241,163
user_18/F3.jpg,138,56,248,166
user_18/F4.jpg,134,54,244,164
user_18/F5.jpg,171,21,281,131
user_18/F6.jpg,181,24,291,134
user_18/F7.jpg,170,24,280,134
user_18/F8.jpg,173,30,283,140
user_18/F9.jpg,178,28,288,138
user_18/G0.jpg,122,56,222,156
user_18/G1.jpg,117,57,217,157
user_18/G2.jpg,126,55,226,155
user_18/G3.jpg,128,60,228,160
user_18/G4.jpg,127,67,227,167
user_18/G5.jpg,173,52,273,152
user_18/G6.jpg,168,54,268,154
user_18/G7.jpg,179,54,279,154
user_18/G8.jpg,179,61,279,161
user_18/G9.jpg,178,65,278,165
user_18/H0.jpg,137,49,247,159
user_18/H1.jpg,132,49,242,159
user_18/H2.jpg,146,52,256,162
user_18/H3.jpg,134,50,244,160
user_18/H4.jpg,131,51,241,161
user_18/H5.jpg,182,48,292,158
user_18/H6.jpg,178,52,288,162
user_18/H7.jpg,186,60,286,160
user_18/H8.jpg,190,57,290,157
user_18/H9.jpg,188,52,288,152
user_18/I0.jpg,141,65,241,165
user_18/I1.jpg,130,60,230,160
user_18/I2.jpg,153,57,253,157
user_18/I3.jpg,145,50,245,150
user_18/I4.jpg,149,64,249,164
user_18/I5.jpg,186,39,286,139
user_18/I6.jpg,175,34,275,134
user_18/I7.jpg,183,37,283,137
user_18/I8.jpg,188,51,278,141
user_18/I9.jpg,185,52,275,142
user_18/K0.jpg,132,59,242,169
user_18/K1.jpg,117,61,227,171
user_18/K2.jpg,128,65,238,175
user_18/K3.jpg,124,69,234,179
user_18/K4.jpg,132,75,242,185
user_18/K5.jpg,179,45,289,155
user_18/K6.jpg,174,41,284,151
user_18/K7.jpg,186,43,296,153
user_18/K8.jpg,172,35,282,145
user_18/K9.jpg,183,42,293,152
user_18/L0.jpg,156,54,266,164
user_18/L1.jpg,150,49,260,159
user_18/L2.jpg,156,57,266,167
user_18/L3.jpg,150,59,260,169
user_18/L4.jpg,161,62,271,172
user_18/L5.jpg,143,15,253,125
user_18/L6.jpg,132,13,242,123
user_18/L7.jpg,150,16,260,126
user_18/L8.jpg,132,18,242,128
user_18/L9.jpg,135,21,245,131
user_18/M0.jpg,155,69,245,159
user_18/M1.jpg,148,69,238,159
user_18/M2.jpg,165,69,255,159
user_18/M3.jpg,152,65,242,155
user_18/M4.jpg,152,79,242,169
user_18/M5.jpg,179,45,269,135
user_18/M6.jpg,169,41,259,131
user_18/M7.jpg,187,49,277,139
user_18/M8.jpg,176,43,266,133
user_18/M9.jpg,168,45,258,135
user_18/N0.jpg,160,64,250,154
user_18/N1.jpg,149,63,239,153
user_18/N2.jpg,160,67,250,157
user_18/N3.jpg,146,65,236,155
user_18/N4.jpg,161,68,251,158
user_18/N5.jpg,183,38,273,128
user_18/N6.jpg,175,33,265,123
