image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_14/A0.jpg,52,29,172,149
user_14/A1.jpg,67,29,177,139
user_14/A2.jpg,68,30,178,140
user_14/A3.jpg,82,35,182,135
user_14/A4.jpg,84,43,184,143
user_14/A5.jpg,93,66,173,146
user_14/A6.jpg,90,65,180,155
user_14/A7.jpg,86,66,176,156
user_14/A8.jpg,87,68,177,158
user_14/A9.jpg,62,55,172,165
user_14/B0.jpg,39,38,179,178
user_14/B1.jpg,39,38,179,178
user_14/B2.jpg,52,44,182,174
user_14/B3.jpg,54,44,184,174
user_14/B4.jpg,57,43,187,173
user_14/B5.jpg,32,13,182,163
user_14/B6.jpg,41,21,181,161
user_14/B7.jpg,50,29,180,159
user_14/B8.jpg,56,34,176,154
user_14/B9.jpg,58,39,178,159
user_14/C0.jpg,99,34,209,144
user_14/C1.jpg,109,42,209,142
user_14/C2.jpg,109,42,209,142
user_14/C3.jpg,107,41,207,141
user_14/C4.jpg,107,41,207,141
user_14/C5.jpg,60,45,170,155
user_14/C6.jpg,60,45,170,155
user_14/C7.jpg,65,50,175,160
user_14/C8.jpg,68,52,178,162
user_14/C9.jpg,71,52,181,162
user_14/D0.jpg,30,30,170,170
user_14/D1.jpg,30,30,170,170
user_14/D2.jpg,30,30,170,170
user_14/D3.jpg,30,30,170,170
user_14/D4.jpg,30,30,170,170
user_14/D5.jpg,10,36,150,176
user_14/D6.jpg,22,42,152,172
user_14/D7.jpg,26,45,156,175
user_14/D8.jpg,39,58,159,178
user_14/D9.jpg,39,58,159,178
user_14/E0.jpg,31,75,141,185
user_14/E1.jpg,39,74,149,184
user_14/E2.jpg,43,74,153,184
user_14/E3.jpg,37,71,147,181
user_14/E4.jpg,34,80,144,190
user_14/E5.jpg,49,61,149,161
user_14/E6.jpg,58,73,148,163
user_14/E7.jpg,53,77,143,167
user_14/E8.jpg,60,79,150,169
user_14/E9.jpg,65,86,155,176
user_14/F0.jpg,33,18,183,168
user_14/F1.jpg,51,27,191,167
user_14/F2.jpg,57,33,197,173
user_14/F3.jpg,68,38,198,168
user_14/F4.jpg,66,38,196,168
user_14/F5.jpg,12,21,152,161
user_14/F6.jpg,30,25,170,165
user_14/F7.jpg,47,29,177,159
user_14/F8.jpg,60,36,190,166
user_14/F9.jpg,70,37,200,167
user_14/G0.jpg,103,37,253,187
user_14/G1.jpg,111,39,261,189
user_14/G2.jpg,113,39,263,189
user_14/G3.jpg,121,35,271,185
user_14/G4.jpg,116,34,266,184
user_14/G5.jpg,30,79,170,219
user_14/G6.jpg,42,78,182,218
user_14/G7.jpg,41,80,181,220
user_14/G8.jpg,49,85,189,225
user_14/G9.jpg,42,84,182,224
user_14/H0.jpg,115,43,245,173
user_14/H1.jpg,117,47,247,177
user_14/H2.jpg,127,42,257,172
user_14/H3.jpg,123,35,253,165
user_14/H4.jpg,123,31,253,161
user_14/H5.jpg,84,49,194,159
user_14/H6.jpg,87,56,197,166
user_14/H7.jpg,95,74,205,184
user_14/H8.jpg,101,83,211,193
user_14/H9.jpg,96,81,206,191
user_14/I0.jpg,69,37,209,177
user_14/I1.jpg,66,36,206,176
user_14/I2.jpg,90,38,230,178
user_14/I3.jpg,67,33,207,173
user_14/I4.jpg,86,37,226,177
user_14/I5.jpg,42,43,162,163
user_14/I6.jpg,38,42,158,162
user_14/I7.jpg,60,45,180,165
user_14/I8.jpg,40,44,160,164
user_14/I9.jpg,46,52,166,172
user_14/K0.jpg,90,54,210,174
user_14/K1.jpg,81,54,201,174
user_14/K2.jpg,96,54,216,174
user_14/K3.jpg,82,60,202,180
user_14/K4.jpg,94,63,214,183
user_14/K5.jpg,29,58,149,178
user_14/K6.jpg,34,56,154,176
user_14/K7.jpg,28,61,148,181
user_14/K8.jpg,44,64,164,184
user_14/K9.jpg,31,70,151,190
user_14/L0.jpg,89,37,219,167
user_14/L1.jpg,74,38,204,168
user_14/L2.jpg,94,41,224,171
user_14/L3.jpg,86,40,216,170
user_14/L4.jpg,92,52,222,182
user_14/L5.jpg,20,66,150,196
user_14/L6.jpg,29,70,159,200
user_14/L7.jpg,15,72,145,202
user_14/L8.jpg,27,79,157,209
user_14/L9.jpg,20,66,150,196
user_14/M0.jpg,103,84,203,184
user_14/M1.jpg,95,89,195,189
user_14/M2.jpg,116,91,216,191
user_14/M3.jpg,107,90,207,190
user_14/M4.jpg,113,94,213,194
user_14/M5.jpg,102,97,192,187
user_14/M6.jpg,83,96,173,186
user_14/M7.jpg,90,98,180,188
user_14/M8.jpg,78,101,168,191
user_14/M9.jpg,87,104,177,194
user_14/N0.jpg,81,83,191,193
user_14/N1.jpg,75,86,185,196
user_14/N2.jpg,101,81,211,191
user_14/N3.jpg,93,83,203,193
user_14/N4.jpg,101,88,211,198
user_14/N5.jpg,50,79,140,169
user_14/N6.jpg,47,78,137,168
user_14/N7.jpg,60,81,150,171
user_14/N8.jpg,55,85,145,175
user_14/N9.jpg,55,98,145,188
user_14/O0.jpg,99,69,219,189
user_14/O1.jpg,88,70,208,190
user_14/O2.jpg,99,73,219,193
user_14/O3.jpg,112,73,222,183
user_14/O4.jpg,106,72,216,182
user_14/O5.jpg,77,66,177,166
user_14/O6.jpg,76,68,176,168
user_14/O7.jpg,88,71,188,171
