image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_15/A0.jpg,166,35,276,145
user_15/A1.jpg,166,32,286,152
user_15/A2.jpg,165,32,285,152
user_15/A3.jpg,157,31,297,171
user_15/A4.jpg,154,38,304,188
user_15/A5.jpg,132,47,232,147
user_15/A6.jpg,132,47,232,147
user_15/A7.jpg,132,43,232,143
user_15/A8.jpg,131,36,241,146
user_15/A9.jpg,119,34,239,154
user_15/B0.jpg,165,29,315,179
user_15/B1.jpg,160,21,320,181
user_15/B2.jpg,159,24,319,184
user_15/B3.jpg,149,17,319,187
user_15/B4.jpg,169,29,319,179
user_15/B5.jpg,118,16,268,166
user_15/B6.jpg,117,19,267,169
user_15/B7.jpg,115,20,265,170
user_15/B8.jpg,115,20,265,170
user_15/B9.jpg,115,20,265,170
user_15/C0.jpg,142,29,252,139
user_15/C1.jpg,144,29,254,139
user_15/C2.jpg,143,30,253,140
user_15/C3.jpg,140,31,250,141
user_15/C4.jpg,138,32,248,142
user_15/C5.jpg,180,8,300,128
user_15/C6.jpg,180,8,300,128
user_15/C7.jpg,179,14,299,134
user_15/C8.jpg,177,16,297,136
user_15/C9.jpg,170,18,290,138
user_15/D0.jpg,125,48,275,198
user_15/D1.jpg,125,48,275,198
user_15/D2.jpg,127,47,277,197
user_15/D3.jpg,127,47,277,197
user_15/D4.jpg,127,47,277,197
user_15/D5.jpg,98,43,278,223
user_15/D6.jpg,105,36,275,206
user_15/D7.jpg,105,28,275,198
user_15/D8.jpg,105,28,275,198
user_15/D9.jpg,101,29,271,199
user_15/E0.jpg,169,58,269,158
user_15/E1.jpg,163,55,263,155
user_15/E2.jpg,165,54,265,154
user_15/E3.jpg,169,61,269,161
user_15/E4.jpg,161,61,261,161
user_15/E5.jpg,156,36,266,146
user_15/E6.jpg,149,34,259,144
user_15/E7.jpg,154,32,264,142
user_15/E8.jpg,157,42,257,142
user_15/E9.jpg,150,44,250,144
user_15/F0.jpg,153,31,283,161
user_15/F1.jpg,138,35,268,165
user_15/F2.jpg,150,36,280,166
user_15/F3.jpg,144,42,274,172
user_15/F4.jpg,145,49,265,169
user_15/F5.jpg,148,15,288,155
user_15/F6.jpg,157,19,297,159
user_15/F7.jpg,141,24,281,164
user_15/F8.jpg,150,27,290,167
user_15/F9.jpg,132,27,272,167
user_15/G0.jpg,122,17,272,167
user_15/G1.jpg,115,21,265,171
user_15/G2.jpg,127,22,277,172
user_15/G3.jpg,117,30,267,180
user_15/G4.jpg,120,41,270,191
user_15/G5.jpg,101,24,271,194
user_15/G6.jpg,104,24,274,194
user_15/G7.jpg,85,28,255,198
user_15/G8.jpg,100,28,270,198
user_15/G9.jpg,96,16,266,186
user_15/H0.jpg,127,25,257,155
user_15/H1.jpg,116,21,246,151
user_15/H2.jpg,120,23,250,153
user_15/H3.jpg,114,36,244,166
user_15/H4.jpg,107,36,237,166
user_15/H5.jpg,143,33,273,163
user_15/H6.jpg,132,30,262,160
user_15/H7.jpg,144,31,274,161
user_15/H8.jpg,137,33,267,163
user_15/H9.jpg,138,42,268,172
user_15/I0.jpg,145,52,265,172
user_15/I1.jpg,146,62,256,172
user_15/I2.jpg,136,65,246,175
user_15/I3.jpg,140,67,250,177
user_15/I4.jpg,134,67,244,177
user_15/I5.jpg,136,47,266,177
user_15/I6.jpg,125,52,255,182
user_15/I7.jpg,139,57,269,187
user_15/I8.jpg,125,52,255,182
user_15/I9.jpg,133,52,263,182
user_15/K0.jpg,34,22,184,172
user_15/K1.jpg,32,25,182,175
user_15/K2.jpg,53,21,203,171
user_15/K3.jpg,39,16,189,166
user_15/K4.jpg,22,18,172,168
user_15/K5.jpg,73,22,223,172
user_15/K6.jpg,60,28,210,178
user_15/K7.jpg,77,29,227,179
user_15/K8.jpg,60,25,210,175
user_15/K9.jpg,64,32,214,182
user_15/L0.jpg,98,50,218,170
user_15/L1.jpg,101,45,221,165
user_15/L2.jpg,107,47,227,167
user_15/L3.jpg,86,41,206,161
user_15/L4.jpg,88,36,208,156
user_15/L5.jpg,141,24,271,154
user_15/L6.jpg,122,21,252,151
user_15/L7.jpg,132,24,262,154
user_15/L8.jpg,123,18,253,148
user_15/L9.jpg,121,18,251,148
user_15/M0.jpg,141,63,241,163
user_15/M1.jpg,136,60,236,160
user_15/M2.jpg,143,59,243,159
user_15/M3.jpg,121,56,221,156
user_15/M4.jpg,109,60,209,160
user_15/M5.jpg,142,51,242,151
