image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_13/A0.jpg,141,73,241,173
user_13/A1.jpg,135,74,235,174
user_13/A2.jpg,131,67,241,177
user_13/A3.jpg,124,70,244,190
user_13/A4.jpg,122,78,242,198
user_13/A5.jpg,181,43,271,133
user_13/A6.jpg,185,38,265,118
user_13/A7.jpg,185,36,265,116
user_13/A8.jpg,180,14,270,104
user_13/A9.jpg,174,4,264,94
user_13/B0.jpg,124,36,274,186
user_13/B1.jpg,124,38,274,188
user_13/B2.jpg,131,49,271,189
user_13/B3.jpg,140,57,270,187
user_13/B4.jpg,118,33,278,193
user_13/B5.jpg,163,34,283,154
user_13/B6.jpg,170,46,280,156
user_13/B7.jpg,174,48,284,158
user_13/B8.jpg,174,48,284,158
user_13/B9.jpg,174,48,284,158
user_13/C0.jpg,160,61,270,171
user_13/C1.jpg,165,66,265,166
user_13/C2.jpg,165,66,265,166
user_13/C3.jpg,165,66,265,166
user_13/C4.jpg,170,62,270,162
user_13/C5.jpg,174,34,274,134
user_13/C6.jpg,176,40,276,140
user_13/C7.jpg,182,46,272,136
user_13/C8.jpg,182,46,272,136
user_13/C9.jpg,182,46,272,136
user_13/D0.jpg,120,58,250,188
user_13/D1.jpg,119,61,249,191
user_13/D2.jpg,121,65,251,195
user_13/D3.jpg,122,67,252,197
user_13/D4.jpg,122,70,252,200
user_13/D5.jpg,143,14,273,144
user_13/D6.jpg,144,14,274,144
user_13/D7.jpg,160,29,270,139
user_13/D8.jpg,157,7,287,137
user_13/D9.jpg,153,9,293,149
user_13/E0.jpg,95,51,215,171
user_13/E1.jpg,91,50,211,170
user_13/E2.jpg,117,67,217,167
user_13/E3.jpg,130,70,220,160
user_13/E4.jpg,136,70,226,160
user_13/E5.jpg,161,23,261,123
user_13/E6.jpg,161,27,261,127
user_13/E7.jpg,178,49,268,139
user_13/E8.jpg,183,52,273,142
user_13/E9.jpg,179,49,269,139
user_13/F0.jpg,123,40,263,180
user_13/F1.jpg,136,41,276,181
user_13/F2.jpg,139,44,269,174
user_13/F3.jpg,132,47,262,177
user_13/F4.jpg,139,48,269,178
user_13/F5.jpg,161,17,281,137
user_13/F6.jpg,159,18,279,138
user_13/F7.jpg,157,27,277,147
user_13/F8.jpg,164,29,284,149
user_13/F9.jpg,160,32,280,152
user_13/G0.jpg,105,37,255,187
user_13/G1.jpg,106,22,256,172
user_13/G2.jpg,101,6,251,156
user_13/G3.jpg,108,0,258,150
user_13/G4.jpg,107,6,257,156
user_13/G5.jpg,152,18,282,148
user_13/G6.jpg,153,16,283,146
user_13/G7.jpg,157,16,287,146
user_13/G8.jpg,154,26,284,156
user_13/G9.jpg,159,23,289,153
user_13/H0.jpg,126,2,266,142
user_13/H1.jpg,122,2,262,142
user_13/H2.jpg,132,8,272,148
user_13/H3.jpg,125,4,265,144
user_13/H4.jpg,114,5,254,145
user_13/H5.jpg,159,22,269,132
